id,nombres,apellidos,sentencia_id
395,Peña Castillo,Cristian Camilo,5527
396,Morales Quiroga,Manuel Alejandro,5527
397,Romero Vargas,Oscar,5531
398,Rey Beltrán,Germán,5532
399,Gómez Arias,Bernarda,5534
400,Munar Huertas,Pedro Juan,5534
401,Escobar Gil,Rodrigo,5537
402,Rizo Benavides,Marcela Cristina,5537
403,Rodríguez,Andrés Mauricio,5537
404,Vargas Barrera,Amanda,5539
405,Guerrero,Luis Eduardo,5539
406,Córdoba Castrillón,Carlos Felipe,5540
407,Echeverri Quintana,Eudoro,5542
408,Roa Salguero,David Alonso,5543
409,Gómez Camargo,Edgar Augusto,5546
410,Bejarano Bejarano,Jeimy Johana,5546
411,Barreto Rojas ,Bregeeth Yuliana,5546
412,Pachón Pachón,Mary,5549
413,González,Dean Lermen,5551
414,Lermen González,Dean,5552
415,Velásquez Turbay,Camilo Eduardo,5553
416,Oliveros,Aída Irreño,5553
417,Zanguña Rojas,José Rodolfo ,5553
418,Romero Murcia,Héctor José ,5553
419,González Hurtado,Manuel,5553
420,Salgar Vegalara,Luis Jaime,5559
421,Dávila Gómez,Maria Fernanda,5559
422,Manchego Domínguez,Carlos Julio,5559
423,Rueda Rodríguez,Nelson Enrique,5560
424,López Cortés ,Harvey Darío,5560
425,Hernández Arzayús,Mónica,5560
426,Camacho Montoya,Álvaro,5561
427,Restrepo Brigard,María Teresa,5561
428,Riveros González,Daniela,5564
429,Torres Guerra,Johanna,5564
430,Jaramillo Duarte,Farid Alberto,5564
431,Lozano Orjuela,Diego Mauricio,5564
432,Arturo Noreña,Ibeth Fernanda,5564
433,Osorio Gutiérrez,Juan Guillermo,5568
434,Pérez Pallares,Dargi Inés,5568
435, ariza Nieves,Jimena,5568
436,Narváez Cortes,Danna,5568
437,Walteros Campos,Edson Johao,5568
438,Merchán Carpintero,Nathaly Juieth,5569
439,Páez Rodríguez,Javier Orlando,5569
440,Vargas Montero,Huber Vivaldi,5569
441,Vargas Montero,Marcel Fernando,5569
442,Romero Benavides,David Andrés,5569
443,Arango Espinosa,Camilo Andrés,5571
444,Johann Fernando,Rincón Sánchez,5571
445,Saavedra Forero,Yulieth Paola,5571
446,Franco Rocha,Yenny Paola,5575
447,Naged Mendoza,Dora Yamile,5575
448,Bernal Flautero,Juliana María,5575
449,Quintero Peña ,Luis Carlos,5575
450,Castro Cárdenas,Mauro Alejandro,5575
451,Motta Páez,Luisa Fernanda ,5580
452,Oidor Vargas,Jully Fernanda,5580
453,Puentes Ordóñez,Jackeline,5580
454,Espitia,Daisy Yolima,5580
455,Pulido Camargo,Sergio Daniel,5580
456,Pardo Amézquita,Diego Alexander,5583
457,Garzón Rincón,Nillyreth,5583
458,Ospina Sabogal,Sandra Yolima,5583
459,Mantilla De Valera,Laura Carolina,5583
460,Amaya Páez,Fredy Albeiro,5583
461,Mesa,María Berenice,5585
462,Sotelo,Camila,5585
463,Lina,Rodriguez,5585
464,Arjona,Jenny,5585
465,Rincón,Angela,5585
466,Rodas Pinilla,Natalia Stefania,5587
467,Abril Mora,Sindy Nataly,5587
468,Aranguren Turmequé,Laura Alejandra,5587
469,Arango González,Ana María,5587
470,Poveda Penagos,Jairo,5587
471,Cañas Castillo,Darío,5588
472,Díaz,Miller,5588
473,Suelt Cock,Vanessa,5588
474,Parada Panchen,Marllen,5588
475,Carrillo López,Mauricio,5588
476,Ramírez Ortegón,J. Hernán,5589
477,Velosa,Evely Paola,5593
478,Angarita Cristancho,Dolly Jamine,5593
479,Polo,Alberto Mario De Jesús,5593
480,Rubio Nocua,Adriana,5593
481,Osorio Rocha,Ana Milena,5593
482,Oviedo Alban,Jorge,5597
483,Flechas Rodríguez,Stephanie,5598
484,Chavarro Moncada,Luisa,5598
485,Martínez,Carlos Arturo,5599
486,Velandia,Diana,5599
487,Morales Pita,Cristian,5599
488,Torres,Aura Consuelo,5599
489,Romero,Lina Paola,5599
490,Arraut Viñas,Isis Del Carmen,5600
491,Torres,Nixon,5601
492,Bello Durán,Francisco Javier,5603
493,Muñoz Bolaños,Camilo Andrés,5604
494,Ramírez Sánchez,Elkin Leonardo ,5604
495,Alvarado Guerrero,Liliana Marcela ,5604
496,Espinosa Fenwarth,Andrés,5605
497,Buitrago Galindo,Juan Diego,5608
498,Pérez Garzón,Carlos Andrés,5611
499,Pérez Garzón,Carlos Andrés,5612
500,Buitrago Galindo,Juan Diego,5612
501,Ossa Santamaría,Julio,5614
502,Avendaño,Edilma,5614
503,Avendaño,Aura,5614
504,Sarmiento,Jackson,5614
505,Cardona Camacho,María Alejandra,5617
506,González Gálvez,Aycardo,5620
507,Curtidor Argüello,David,5620
508,Noriega Hernández,Ricardo Isaac,5632
509,Mejía Duque,Clara,5633
510,Cabrera Cifuentes,Linda María,5633
511,Martínez,Aleida Marina,5634
512,Mejía Zamora,Luz Esperanza,5634
513,Carrión Acosta,Gualberto Germán,5634
514,Cañón Amaya,Víctor Eugenio,5634
515,Cortes Forero,Sol María,5634
516,Iturralde Sánchez,Manuel,5635
517,Ariza,Libardo José,5635
518,Rubiano Galvis,Sebastián,5635
519,Romero Castellanos,Daniela,5635
520,López López,Natalia,5635
521,Betancourt Arguelles,Diana Isabel,5636
522,Rojas Jaimes,Alberto,5641
523,Figueroa Sarmiento,Jesús,5643
524,Sosa Restrepo,Humberto,5643
525,Martínez Caballero,Henry,5643
526,Urango Codina,Yandira Alicia,5643
527,Bermúdez O.,Laura J.,5645
528,Mejía Duque,Claudia,5648
529,Cabrera Cifuentes,Linda María,5648
530,Rodríguez Rincón,Diana Carolina,5648
531,Pinzon,William,5653
532,Montilla Medina,María Celeste,5655
533,Torres Maldonado,Iris Yadira,5655
534,Cruz Vallejo,Adriana Carolina,5655
